#FID IID
1858906 1858906
4313265 4313265
1311310 1311310
5994522 5994522
5083700 5083700
5049253 5049253
3025362 3025362
5938952 5938952
1117303 1117303
4421233 4421233
5119211 5119211
5267468 5267468
5389111 5389111
5033137 5033137
5601538 5601538
3597700 3597700
4683900 4683900
5316561 5316561
2390396 2390396
5005396 5005396
2620972 2620972
2917809 2917809
4182606 4182606
1721346 1721346
3224378 3224378
4359181 4359181
3326262 3326262
4340909 4340909
4577382 4577382
4634701 4634701
3134004 3134004
5729906 5729906
1713571 1713571
2839427 2839427
2208464 2208464
4448647 4448647
1108408 1108408
5894000 5894000
2019123 2019123
3258957 3258957
1798170 1798170
2470214 2470214
4552596 4552596
4050540 4050540
3008737 3008737
1520742 1520742
3468499 3468499
5423825 5423825
4705004 4705004
2256149 2256149
1018214 1018214
4507946 4507946
1310230 1310230
4976710 4976710
4023757 4023757
5020867 5020867
1931917 1931917
5397620 5397620
4260391 4260391
2522942 2522942
3686979 3686979
2784514 2784514
5153035 5153035
3604027 3604027
1191772 1191772
4324152 4324152
1996418 1996418
4629981 4629981
1110285 1110285
3779574 3779574
5436273 5436273
2335616 2335616
3219578 3219578
2217684 2217684
1285456 1285456
4701141 4701141
2993864 2993864
5220100 5220100
5363746 5363746
2800554 2800554
3204365 3204365
5986886 5986886
1351251 1351251
5271344 5271344
4999737 4999737
3221382 3221382
4206722 4206722
1857348 1857348
4633671 4633671
2726676 2726676
2001811 2001811
4118547 4118547
1579600 1579600
5130250 5130250
4529683 4529683
5507787 5507787
1670759 1670759
4039096 4039096
2880140 2880140
1663809 1663809
5061325 5061325
1190184 1190184
5377694 5377694
2681664 2681664
2329329 2329329
1174378 1174378
4366028 4366028
2546329 2546329
6010322 6010322
3397726 3397726
2994466 2994466
1891970 1891970
5352766 5352766
5830460 5830460
2690857 2690857
4591329 4591329
4679490 4679490
2758424 2758424
2573429 2573429
4594712 4594712
3361558 3361558
5881546 5881546
2826344 2826344
1353047 1353047
4349879 4349879
2234146 2234146
4907844 4907844
2817649 2817649
3547309 3547309
4896651 4896651
2943699 2943699
2858518 2858518
4612704 4612704
3303039 3303039
5344193 5344193
5140994 5140994
5658170 5658170
4504998 4504998
2936819 2936819
5114716 5114716
2798918 2798918
1715682 1715682
3584411 3584411
2227691 2227691
